grouped_tag,translation,frequency,mean_rating,score
الحماس,Enthusiasm,211,3.65301997843743,752.1549718013647
الحب,Love,127,3.55689943709113,442.5094325270044
الحزن,Sadness,89,3.630116468145176,321.0535675069886
الاستمتاع,Enjoyment,78,3.3872554272153814,268.9366883392055
فرح,Joy,70,3.4856257730987705,247.98578930611245
الرومانسية,Romance,66,3.7690248996852773,243.21235764065955
المرح,Fun,59,3.7035704002303484,217.84249928016123
رقص,Dance,55,3.8942140296979004,204.38156682027648
السعادة,Happiness,50,3.7348105368613354,184.60616418174317
الدفئ,Warmth,44,3.2899628252788102,144.75836431226764
الهدوء,Calmness,44,3.293541977148535,143.52876304023846
احتفالي,Celebratory,33,3.9397468939994713,130.0386102299762
الألم,Pain,36,3.2419636322693237,124.76034453639588
بهجة,Delight,32,3.7339549574383994,119.0516501546034
عشق,Passion,27,3.8466386554621845,100.12184873949579
قوة,Strength,25,3.533319665729459,88.11586223055295
شباب,Youth,16,3.6622257053291536,59.258620689655174
الاثاره,Excitement,17,3.459236326109391,58.3374613003096
صاخب,Loud,17,3.7069620253164555,56.49493670886077
نشاط,Active,16,3.5,56
