grouped_tag,translation,frequency,mean_rating,score
alegria,joy,172,3.4233050800948814,581.5658738319265
baile,dance,112,3.4455675480042762,382.0906644418143
amor,love,85,3.5981520065404418,305.64625737724737
felicidad,happiness,88,3.286517412935323,293.2611940298507
fiesta,party,84,3.304671189266,287.92412178225936
ritmo,rhythm,80,3.5240784305561337,277.5534204938169
relajacion,relaxation,82,2.9383661145355786,238.0559546309347
tranquilidad,tranquility,77,2.915992812219227,231.15723270440253
nostalgia,nostalgia,61,3.2748591909882236,198.01976446492574
emocion,emotion,62,3.15916076604949,196.52234070906192
tristeza,sadness,58,3.1066017316017316,171.11363636363637
pasion,passion,50,3.0708187446837973,153.62795679781615
romance,romance,42,3.5222615279587908,150.51897225842487
movida,lively,40,3.5631886398176293,140.15252184650456
sensualidad,sensuality,48,2.8449834479246245,139.97962821492231
raro,strange,34,2.8937484556461577,99.63973313565603
esperanza,hope,32,2.9508196721311477,94.42622950819673
melancolía,melancholy,27,3.1910828025477707,86.1592356687898
diversion,fun,25,3.341980198019802,85.38336633663366
paz,peace,24,3.3597560975609757,80.63414634146342
