grouped_tag,translation,frequency,mean_rating,score
rythmé,rhythmic,133,3.322121305162241,449.4019757370634
dansant,dancing,100,3.2461377214128495,333.7758725500471
entraînant,catchy,56,3.2574675324675324,190.8318181818182
joie,joy,55,3.265415549597855,179.59785522788204
festif,festive,52,3.246274689239686,177.07124227865478
étranger,foreign,44,3.7159307359307356,165.10770562770563
nostalgie,nostalgia,47,2.785736125974622,128.69729399174437
joyeux,happy,36,3.41025641025641,122.76923076923076
amour,love,34,2.903988603988604,98.28831908831908
cool,cool,33,2.95959595959596,97.66666666666669
moderne,modern,34,2.849557522123894,96.8849557522124
latino,latino,23,3.5514018691588785,81.6822429906542
calme,calm,24,3.3167701863354035,79.60248447204968
agréable,pleasant,25,3.125874125874126,78.14685314685315
doux,soft,24,3.226825842696629,76.85112359550561
triste,sad,23,2.8991236611489777,66.86777020447906
ensoleillé,sunny,18,3.434164934164934,61.80803880803881
amusant,fun,23,2.6099290780141846,60.02836879432625
bonheur,happiness,21,2.8244274809160306,59.31297709923664
mélancolie,melancholy,18,3.1833333333333336,58.23333333333333
